benchmark,smt,event,duration,result
FASTJSON-39_1,smt-1,solve,10,SAT
FASTJSON-17_1,smt-5,check,0,false
FASTJSON-39_1,smt-31,check,6,false
GUAVA-260_1,smt-173,solve,13,SAT
GUAVA-260_1,smt-225,check,0,false
FASTJSON-39_1,smt-31,solve,7,SAT
FASTJSON-17_1,smt-5,solve,7,UNSAT
FASTJSON-17_1,smt-5,update,1,
FASTJSON-39_1,smt-7,check,0,false
GUAVA-249_1,smt-27,solve,54,SAT
GUAVA-249_1,smt-48,check,0,false
GUAVA-78_1,smt-57,check,0,false
FASTJSON-79_1,smt-87,solve,28,UNSAT
GUAVA-249_1,smt-48,solve,7,SAT
FASTJSON-79_1,smt-87,update,29,
GUAVA-249_1,smt-18,check,0,false
FASTJSON-79_1,smt-31,check,0,false
GUAVA-249_1,smt-18,solve,5,SAT
GUAVA-249_1,smt-42,check,0,false
FASTJSON-39_1,smt-7,solve,29,UNSAT
FASTJSON-39_1,smt-7,update,1,
FASTJSON-39_1,smt-27,check,4,false
GUAVA-260_1,smt-225,solve,23,UNSAT
GUAVA-260_1,smt-225,update,29,
FASTJSON-79_1,smt-31,solve,17,UNSAT
FASTJSON-79_1,smt-31,update,1,
GUAVA-260_1,smt-227,check,0,false
GUAVA-249_1,smt-42,solve,16,SAT
FASTJSON-79_1,smt-89,check,0,false
GUAVA-249_1,smt-4,check,3,false
GUAVA-249_1,smt-4,solve,5,SAT
GUAVA-249_1,smt-24,check,0,false
FASTJSON-39_1,smt-27,solve,12,UNSAT
FASTJSON-39_1,smt-27,update,1,
GUAVA-249_1,smt-24,solve,4,SAT
GUAVA-78_1,smt-57,solve,130,SAT
GUAVA-249_1,smt-36,check,0,false
FASTJSON-39_1,smt-18,check,3,false
GUAVA-78_1,smt-90,check,0,false
GUAVA-260_1,smt-227,solve,17,UNSAT
GUAVA-260_1,smt-227,update,1,
FASTJSON-79_1,smt-89,solve,16,UNSAT
GUAVA-249_1,smt-36,solve,6,SAT
FASTJSON-79_1,smt-89,update,2,
GUAVA-249_1,smt-38,check,0,false
GUAVA-260_1,smt-361,check,5,false
FASTJSON-79_1,smt-53,check,2,true
FASTJSON-79_1,smt-7,check,2,false
GUAVA-249_1,smt-38,solve,8,SAT
GUAVA-249_1,smt-45,check,0,false
GUAVA-249_1,smt-45,solve,9,SAT
GUAVA-249_1,smt-25,check,0,false
GUAVA-260_1,smt-361,solve,16,UNSAT
GUAVA-260_1,smt-361,update,1,
GUAVA-260_1,smt-271,check,1,false
GUAVA-249_1,smt-25,solve,14,SAT
GUAVA-249_1,smt-32,check,0,false
GUAVA-260_1,smt-271,solve,10,UNSAT
GUAVA-260_1,smt-271,update,7,
GUAVA-249_1,smt-32,solve,3,SAT
GUAVA-249_1,smt-43,check,0,false
FASTJSON-79_1,smt-7,solve,22,UNSAT
GUAVA-260_1,smt-362,check,0,false
FASTJSON-79_1,smt-7,update,1,
GUAVA-78_1,smt-90,solve,110,SAT
FASTJSON-79_1,smt-27,check,5,true
GUAVA-249_1,smt-43,solve,7,SAT
FASTJSON-79_1,smt-75,check,0,true
GUAVA-249_1,smt-47,check,0,false
FASTJSON-79_1,smt-67,check,0,true
FASTJSON-79_1,smt-88,check,0,true
GUAVA-78_1,smt-37,check,0,false
FASTJSON-79_1,smt-48,check,0,true
FASTJSON-79_1,smt-18,check,3,true
GUAVA-260_1,smt-362,solve,11,UNSAT
GUAVA-260_1,smt-362,update,2,
FASTJSON-79_1,smt-92,check,1,true
GUAVA-249_1,smt-47,solve,12,SAT
FASTJSON-79_1,smt-100,check,1,true
GUAVA-260_1,smt-394,check,1,false
GUAVA-249_1,smt-30,check,0,false
FASTJSON-79_1,smt-59,check,0,true
FASTJSON-79_1,smt-42,check,1,true
FASTJSON-79_1,smt-82,check,2,true
FASTJSON-79_1,smt-4,check,0,false
