benchmark,smt,event,duration,result
GUAVA-174_1,smt-57,check,0,false
GUAVA-260_1,smt-305,solve,30,UNSAT
GUAVA-260_1,smt-305,update,1,
GUAVA-260_1,smt-191,check,1,false
GUAVA-260_1,smt-191,solve,10,UNSAT
GUAVA-260_1,smt-191,update,2,
GUAVA-260_1,smt-37,check,0,false
GUAVA-260_1,smt-37,solve,6,UNSAT
GUAVA-260_1,smt-37,update,2,
GUAVA-260_1,smt-1,check,1,false
GUAVA-260_1,smt-1,solve,57,UNSAT
GUAVA-260_1,smt-1,update,1,
SPOON-151_1,smt-804,solve,118,UNSAT
SPOON-151_1,smt-804,update,0,
GUAVA-260_1,smt-142,check,0,false
GUAVA-260_1,smt-142,solve,7,SAT
GUAVA-260_1,smt-162,check,0,false
SPOON-151_1,smt-931,check,1,false
GUAVA-260_1,smt-162,solve,8,SAT
GUAVA-260_1,smt-474,check,2,true
GUAVA-260_1,smt-87,check,7,false
GUAVA-260_1,smt-87,solve,10,UNSAT
GUAVA-260_1,smt-87,update,1,
GUAVA-260_1,smt-386,check,0,false
GUAVA-260_1,smt-386,solve,23,UNSAT
GUAVA-260_1,smt-386,update,1,
GUAVA-260_1,smt-412,check,0,false
GUAVA-260_1,smt-412,solve,27,UNSAT
GUAVA-260_1,smt-412,update,1,
GUAVA-260_1,smt-158,check,0,false
GUAVA-260_1,smt-158,solve,6,UNSAT
GUAVA-260_1,smt-158,update,0,
GUAVA-260_1,smt-392,check,0,false
GUAVA-174_1,smt-57,solve,965,SAT
SPOON-151_1,smt-931,solve,102,UNSAT
SPOON-151_1,smt-931,update,0,
GUAVA-174_1,smt-173,check,0,false
GUAVA-260_1,smt-392,solve,20,UNSAT
GUAVA-260_1,smt-392,update,0,
SPOON-151_1,smt-311,check,0,false
GUAVA-260_1,smt-264,check,1,false
GUAVA-260_1,smt-264,solve,23,UNSAT
GUAVA-260_1,smt-264,update,0,
GUAVA-260_1,smt-237,check,1,false
GUAVA-174_1,smt-173,solve,121,SAT
GUAVA-260_1,smt-237,solve,11,UNSAT
GUAVA-260_1,smt-237,update,0,
GUAVA-260_1,smt-282,check,0,false
GUAVA-174_1,smt-225,check,0,false
GUAVA-260_1,smt-282,solve,27,SAT
GUAVA-260_1,smt-325,check,0,false
SPOON-151_1,smt-311,solve,110,UNSAT
SPOON-151_1,smt-311,update,1,
GUAVA-260_1,smt-325,solve,13,SAT
SPOON-151_1,smt-173,check,1,true
GUAVA-260_1,smt-323,check,1,false
SPOON-151_1,smt-887,check,0,false
GUAVA-260_1,smt-323,solve,23,UNSAT
SPOON-163_1,smt-27,solve,2256,SAT
GUAVA-260_1,smt-323,update,0,
GUAVA-260_1,smt-266,check,1,false
FASTJSON-104_1,smt-90,solve,2799,SAT
SPOON-163_1,smt-18,check,0,false
SPOON-163_1,smt-18,solve,6,UNSAT
SPOON-163_1,smt-18,update,26,
GUAVA-260_1,smt-266,solve,17,UNSAT
GUAVA-260_1,smt-266,update,0,
SPOON-163_1,smt-4,check,0,false
SPOON-151_1,smt-887,solve,50,UNSAT
SPOON-151_1,smt-887,update,0,
GUAVA-260_1,smt-395,check,0,false
SPOON-163_1,smt-4,solve,5,SAT
SPOON-163_1,smt-24,check,0,false
SPOON-151_1,smt-825,check,1,false
GUAVA-260_1,smt-395,solve,18,SAT
SPOON-163_1,smt-24,solve,9,SAT
FASTJSON-104_1,smt-37,check,0,false
GUAVA-260_1,smt-270,check,2,false
FASTJSON-104_1,smt-37,solve,4,UNSAT
FASTJSON-104_1,smt-37,update,26,
FASTJSON-104_1,smt-1,check,0,false
FASTJSON-104_1,smt-1,solve,4,SAT
FASTJSON-104_1,smt-87,check,0,false
GUAVA-260_1,smt-270,solve,26,UNSAT
GUAVA-260_1,smt-270,update,2,
GUAVA-260_1,smt-31,check,0,false
GUAVA-260_1,smt-31,solve,6,SAT
GUAVA-260_1,smt-89,check,0,false
GUAVA-260_1,smt-89,solve,11,SAT
GUAVA-260_1,smt-53,check,0,false
GUAVA-260_1,smt-53,solve,11,SAT
GUAVA-260_1,smt-7,check,0,false
SPOON-151_1,smt-825,solve,103,UNSAT
SPOON-151_1,smt-825,update,1,
GUAVA-260_1,smt-7,solve,8,SAT
SPOON-163_1,smt-25,check,4,false
GUAVA-260_1,smt-379,check,1,false
